author             math  corr  fact  cano  disc  stat  mano
Roy57                31     0     0     0     0   164    11
Kendall57             0    16    54    18    27    13    14
Kendall75             0    40    32    10    42    60     0
Anderson58           19     0    35    19    28   163    52
CooleyLohnes62       14     7    35    22    17     0    56
CooleyLohnes71       20    69    72    33    55     0    32
Morrison67           74     0    86    14     0    84    48
Morrison76           78     0    80     5    17   105    60
VandeGeer67          74    19    33    12    26     0     0
VandeGeer71          80    68    67    15    29     0     0
Dempster69          108    48     4    10    46   108     0
Tasuoka71           109    13     5    17    39    32    46
Harris75             16    35    69    24     0    26    41
Dagnelie75           26    86    60     6    48    48    28
GreenCaroll76       290    10     6     0     8     0     2
CailliezPages76     184    48    82    42   134     0     0
Giri77               29     0     0     0    41   211    32
Gnanadesikan77        0    19    56     0    39    75     0
Kshirsagar78          0    22    45    42    60   230    59
Thorndike78          30   128    90    28    48     0     0
MardiaKentBibby79    34    28    68    19    67   131    55
Seber84              16     0    59    13   116   129   101
Stevens96            23    87    67    21    30    43   249
EverittDunn01         0    54    65     0    56    20    30
Rencher02            38     0    71    19   105   135   131

